clientID:ID,name,clientType,addressStreet,phone,email,creationTimestamp:datetime,lastModifiedTimestamp:datetime,:LABEL
C001,Wohnbau AG Baden,Company,Bahnhofstrasse 1,056 123 45 67,info@wohnbau-baden.ch,2022-01-15T10:00:00,2024-03-01T11:00:00,Client
C002,Meier & Partner Treuhand AG,Company,Treuhandweg 5,056 987 65 43,info@meier-treuhand.ch,2022-05-20T14:00:00,2023-12-10T09:30:00,Client
C003,Retail Shop GmbH Brugg,Company,Altstadtgasse 7,056 111 22 33,info@retail-brugg.ch,2023-02-01T08:00:00,2023-02-01T08:00:00,Client
C004,Hans Keller,Private,Kellerweg 1,079 555 66 77,h.keller@privat-mail.ch,2021-11-10T16:30:00,2023-11-01T10:00:00,Client
C005,Wohnbau Holding AG,Company,Zürichstrasse 100,044 111 22 33,hq@wohnbau-holding.ch,2020-01-01T12:00:00,2022-08-15T13:00:00,Client
C006,Delta Logistics -6,Company,Musterstrasse 6,058 271 70 65,kontakt-6@mail.example.com,2021-04-05T17:42:40,2023-11-09T05:28:07,Client
C007,Schulgemeinde Ennetbaden,Public,Poststrasse 5,056 222 33 44,info@schule-ennetbaden.ch,2023-08-01T09:00:00,2023-08-01T09:00:00,Client
C008,Theta Gastro AG -8,Company,Musterstrasse 8,065 944 12 15,kontakt-8@mail.example.com,2023-03-28T20:19:50,2024-01-31T04:59:59,Client
C009,Eta Verwaltung GmbH -9,Company,Musterstrasse 9,059 605 67 33,kontakt-9@mail.example.com,2025-02-15T07:53:03,2024-12-22T15:31:47,Client
C010,Gemeinde Baden,Public,Musterstrasse 10,047 494 84 90,kontakt-10@mail.example.com,2024-05-30T03:32:36,2024-11-10T11:01:54,Client
C011,"Weber, Anna",Private,Musterstrasse 11,032 853 30 61,kontakt-11@mail.example.com,2021-07-06T12:51:27,2024-08-14T19:53:02,Client
C012,"Steiner, Urs",Private,Musterstrasse 12,064 850 76 96,kontakt-12@mail.example.com,2023-07-31T03:08:41,2023-12-23T18:51:21,Client
C013,"Frei, Hans",Private,Musterstrasse 13,047 113 60 24,kontakt-13@mail.example.com,2023-09-04T03:01:25,2023-02-13T21:35:33,Client
C014,Gemeinde Baden,Public,Musterstrasse 14,075 491 46 77,kontakt-14@mail.example.com,2023-11-16T11:43:34,2023-09-11T18:29:04,Client
C015,"Keller, Anna",Private,Musterstrasse 15,059 469 36 78,kontakt-15@mail.example.com,2021-07-12T06:42:07,2025-01-14T04:26:00,Client
C016,Delta Logistics -16,Company,Musterstrasse 16,034 667 98 44,kontakt-16@mail.example.com,2022-05-04T06:12:52,2024-11-18T22:42:44,Client
C017,"Schmid, Sandra",Private,Musterstrasse 17,065 616 79 43,kontakt-17@mail.example.com,2020-11-14T04:09:15,2023-04-17T19:44:30,Client
C018,Epsilon Treuhand -18,Company,Musterstrasse 18,073 843 89 40,kontakt-18@mail.example.com,2020-06-15T09:18:01,2023-11-16T10:00:05,Client
C019,Gemeinde Baden,Public,Musterstrasse 19,035 751 56 54,kontakt-19@mail.example.com,2022-01-27T21:27:10,2023-11-25T05:00:43,Client
C020,Gamma Retail Plus-20,Company,Musterstrasse 20,044 496 87 82,kontakt-20@mail.example.com,2025-02-10T12:04:23,2023-09-29T18:21:27,Client
C021,Delta Logistics -21,Company,Musterstrasse 21,060 781 49 89,kontakt-21@mail.example.com,2023-02-08T13:53:00,2023-12-11T02:58:58,Client
C022,"Weber, Urs",Private,Musterstrasse 22,057 839 30 44,kontakt-22@mail.example.com,2025-01-06T05:12:43,2024-08-02T14:37:48,Client
C023,Gamma Retail -23,Company,Musterstrasse 23,039 318 76 39,kontakt-23@mail.example.com,2020-09-06T17:56:37,2023-12-21T09:33:23,Client
C024,Zeta Industrie -24,Company,Musterstrasse 24,076 932 63 60,kontakt-24@mail.example.com,2024-07-08T23:34:01,2025-01-03T04:57:40,Client
C025,Beta Immo Services -25,Company,Musterstrasse 25,061 728 76 52,kontakt-25@mail.example.com,2022-09-21T20:18:06,2023-07-05T15:03:00,Client
