userID:ID,username,status,:LABEL
UA001,m.mueller@wohnbau-baden.ch,active,UserAccount
UA002,kevin.imhoff@ecolution.swiss,active,UserAccount
UA003,pascal.braem@ecolution.swiss,active,UserAccount
UA004,roger.sennhauser@ecolution.swiss,active,UserAccount
UA005,seppli.meier@ecolution.swiss,active,UserAccount
UA006,s.huber@wohnbau-baden.ch,invited,UserAccount
UA007,p.schmid@meier-treuhand.ch,active,UserAccount
UA008,u.frei@retail-brugg.ch,active,UserAccount
UA009,h.keller@privat-mail.ch,active,UserAccount
UA010,b.zurfluh@immoinvest.ch,active,UserAccount
UA011,m.ammann@schule-ennetbaden.ch,active,UserAccount
UA012,p.graf@wohnbau-holding.ch,active,UserAccount
UA013,anna.schneider@mail.ch,active,UserAccount
UA014,j.weber@gastroag.ch,active,UserAccount
UA015,reto.steiner@wuerenlos.ch,active,UserAccount
UA016,p.mueller@mail.ch,active,UserAccount
UA017,m.mustermann@logistik.com,active,UserAccount
UA018,eva.moser@wohnbau-baden.ch,invited,UserAccount
