contactID:ID,firstName,lastName,email,phone,position,isPrimaryContact:boolean,:LABEL
CP001,Markus,Müller,m.mueller@wohnbau-baden.ch,056 123 45 67,Verwaltung,True,ContactPerson
CP002,Petra,Schmid,p.schmid@meier-treuhand.ch,056 987 65 43,Mandatsleiterin,True,ContactPerson
CP003,Urs,Frei,u.frei@retail-brugg.ch,056 111 22 33,Geschäftsführer,True,ContactPerson
CP004,Hans,Keller,h.keller@privat-mail.ch,079 555 66 77,,True,ContactPerson
CP005,Sandra,Huber,s.huber@wohnbau-baden.ch,056 123 45 68,Buchhaltung,False,ContactPerson
CP006,Nicole,Baumann,n.baumann6@mail-example.com,072 857 28 48,,False,ContactPerson
CP007,Reto,Fischer,r.fischer7@mail-example.com,036 253 14 20,,True,ContactPerson
CP008,Peter,Frei,p.frei8@mail-example.com,044 688 65 10,,True,ContactPerson
CP009,Peter,Graf,p.graf@wohnbau-holding.ch,044 111 22 34,CEO,True,ContactPerson
CP010,Petra,Zimmermann,p.zimmermann10@mail-example.com,055 970 36 92,Geschäftsführer,True,ContactPerson
CP011,Julia,Steiner,j.steiner11@mail-example.com,079 898 90 25,Projektleitung,True,ContactPerson
CP012,Markus,Müller,m.mueller12@mail-example.com,075 795 18 26,Mandatsleiter,True,ContactPerson
CP013,Markus,Gerber,m.gerber13@mail-example.com,058 731 14 66,,True,ContactPerson
CP014,Martin,Weber,m.weber14@mail-example.com,047 351 75 44,,True,ContactPerson
CP015,Thomas,Baumann,t.baumann15@mail-example.com,036 945 12 26,,False,ContactPerson
CP016,Sandra,Steiner,s.steiner16@mail-example.com,057 959 13 25,,True,ContactPerson
CP017,Martin,Baumann,m.baumann17@mail-example.com,053 211 37 52,,True,ContactPerson
CP018,Sandra,Zimmermann,s.zimmermann18@mail-example.com,031 517 20 23,Geschäftsführer,False,ContactPerson
CP019,Eva,Schmid,e.schmid19@mail-example.com,064 351 70 77,Projektleitung,True,ContactPerson
CP020,Beat,Müller,b.mueller20@mail-example.com,039 389 22 52,Geschäftsführer,False,ContactPerson
CP021,Markus,Gerber,m.gerber21@mail-example.com,066 951 20 36,Projektleitung,False,ContactPerson
CP022,Beat,Baumann,b.baumann22@mail-example.com,032 559 77 72,,False,ContactPerson
CP023,Nicole,Fischer,n.fischer23@mail-example.com,067 665 56 23,Mandatsleiter,True,ContactPerson
CP024,Thomas,Ammann,t.ammann24@mail-example.com,031 135 93 70,,False,ContactPerson
CP025,Nicole,Frei,n.frei25@mail-example.com,066 166 19 54,Buchhaltung,True,ContactPerson
CP026,Simon,Frei,s.frei26@mail-example.com,072 543 85 52,,False,ContactPerson
CP027,Anna,Zurfluh,a.zurfluh27@mail-example.com,039 430 17 45,Verwaltung,True,ContactPerson
CP028,Sandra,Steiner,s.steiner28@mail-example.com,055 950 77 76,Mandatsleiter,True,ContactPerson
CP029,Martin,Huber,m.huber29@mail-example.com,062 702 99 11,,False,ContactPerson
CP030,Eva,Gerber,e.gerber30@mail-example.com,046 185 80 89,Projektleitung,True,ContactPerson
CP031,Anna,Zimmermann,a.zimmermann31@mail-example.com,032 248 41 64,Mandatsleiter,True,ContactPerson
CP032,Hans,Weber,h.weber32@mail-example.com,049 129 91 36,,True,ContactPerson
CP033,Simon,Huber,s.huber33@mail-example.com,063 150 47 83,,False,ContactPerson
CP034,Julia,Keller,j.keller34@mail-example.com,033 474 18 83,Mandatsleiter,True,ContactPerson
CP035,Markus,Baumann,m.baumann35@mail-example.com,060 473 19 57,,False,ContactPerson
CP036,Eva,Weber,e.weber36@mail-example.com,061 908 22 57,Geschäftsführer,True,ContactPerson
CP037,Petra,Moser,p.moser37@mail-example.com,036 234 63 66,,True,ContactPerson
CP038,Eva,Ammann,e.ammann38@mail-example.com,073 866 71 17,Buchhaltung,True,ContactPerson
CP039,Claudia,Schmid,c.schmid39@mail-example.com,061 221 11 62,,True,ContactPerson
CP040,Petra,Schmid,p.schmid40@mail-example.com,054 958 53 29,Technik,False,ContactPerson
